author,user_profile_link,text,timestamp,likes,date,time
Saghir Mohamed,https://web.facebook.com/saghir.mohamed.10?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjc3ODU3ODMxNjc0Mzg5&__tn__=R-R,هزة ارضية مخيفة في اكادير كذلك والصويرة,Friday 8 September 2023 at 23:38,5,08 September 2023,23:38
Chez Si Houd,https://web.facebook.com/profile.php?id=100090060278527&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTQ5MzE1ODI0MTQ1Nzg5Mw%3D%3D&__tn__=R-R,برنوصي,Friday 8 September 2023 at 23:47,0,08 September 2023,23:47
Apdo Moawad,https://web.facebook.com/profile.php?id=100005460046746&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjEyMTQxNjQ1MTg3NzE2&__tn__=R-R,ربنا يسترها معاكم وإنشاء الله تكونو بخير,Friday 8 September 2023 at 23:48,23,08 September 2023,23:48
Jbilou Mohamed,https://web.facebook.com/simo.lblawi?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTQxMzc4NDQ4MjUyMjAwNg%3D%3D&__tn__=R-R,سوق اربعاء الغرب زلزل شبه قوي,Friday 8 September 2023 at 23:38,0,08 September 2023,23:38
Tarik Frs,https://web.facebook.com/tarik.frs.3?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjA5NTQxNDQwNzQ2NDIyMQ%3D%3D&__tn__=R-R,يارب لطفك يارب,Friday 8 September 2023 at 23:39,2,08 September 2023,23:39
مرومة حسام,https://web.facebook.com/profile.php?id=100033876347193&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNzA3NTY5NjU0NTMxOTU2&__tn__=R-R,لاحول ولاقوة إلا بالله..,Saturday 9 September 2023 at 13:22,11,09 September 2023,13:22
Moutchou Abdellah,https://web.facebook.com/profile.php?id=100070379973438&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzIyNDIxODYwMjM2MjIz&__tn__=R-R,ليس بالقوي جدا انا من سكان الرباط وبجانب البحر كنت جالسا فاحسست بالهزة وتبدو ارتدادية خفيفة دامت حوالي ال10ثواني الى12ثانية,Friday 8 September 2023 at 23:40,18,08 September 2023,23:40
Kokita Kati,https://web.facebook.com/kokita.kati.9081?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNTc5NTQ2Njc0MjExMjEz&__tn__=R-R,حنا الدار البيضاء وش غدي يتعود يارب سلامة,Saturday 9 September 2023 at 00:00,0,09 September 2023,00:00
Abdelbasset Bassouta,https://web.facebook.com/abdelbasset.bassouta.7?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjIyOTIyOTA5ODc1NTg1&__tn__=R-R,سلامات أن شاءالله.,Saturday 9 September 2023 at 00:48,19,09 September 2023,00:48
Hamid Sbai,https://web.facebook.com/profile.php?id=100090284337355&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTIwODU4NjM4Mzg2ODkwOA%3D%3D&__tn__=R-R,السلامة إن شاء الله,Friday 8 September 2023 at 23:57,0,08 September 2023,23:57
