author,user_profile_link,text,timestamp,likes,date,time
توفيق الحكيم,https://www.facebook.com/taou.fik.77377692?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNjQwNTUwNjU0ODM0NDg0&__tn__=R*F,قد أخرجت كل أثقالها,Sunday 10 September 2023 at 00:46,0,10 September 2023,00:46
Abdelaziz Salhi,https://www.facebook.com/profile.php?id=100015611046756&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMjAwNjYwNzY5NjkwMDkw&__tn__=R*F,نسأل الله اللطف و السلامة,Saturday 9 September 2023 at 00:04,0,09 September 2023,00:04
فضاء رشيد باتي espacerachid batti,https://www.facebook.com/profile.php?id=100081508372531&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMTUyNDcwODQ0NDk0MjMzNw%3D%3D&__tn__=R*F,نعوذ بالله من كل هول ومصيبة,Sunday 10 September 2023 at 00:46,0,10 September 2023,00:46
Adil nabil,https://www.facebook.com/adil505nabil?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMjUyODkwNDkwNDY5NjA4&__tn__=R*F,سلامة اخويااا هداشي زيد نغزة,Friday 8 September 2023 at 23:25,17,08 September 2023,23:25
Hassan Bourik,https://www.facebook.com/hassan.bourik.3?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMjk3MTU2NDEyOTI2MTU4&__tn__=R*F,الحمد لله على كل حال,Friday 8 September 2023 at 23:44,0,08 September 2023,23:44
OťMánë Salawi,https://www.facebook.com/otmane.salawi.1?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMjA4MDc1NjY4OTM2NjI1&__tn__=R*F,نسال الله السلامة,Friday 8 September 2023 at 23:31,0,08 September 2023,23:31
Fátima Hol,https://www.facebook.com/fatima.hol?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMjA5ODUwMjU3MDUwMDI3NA%3D%3D&__tn__=R*F,نسأل الله اللطف والسلامة، وأحفظ أهلنا يارب العالمين,Friday 8 September 2023 at 23:58,0,08 September 2023,23:58
Bilal Oudriss Bilal,https://www.facebook.com/crayzitoulde.bilal?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfODQ1MjY0MjUzODU2MTEz&__tn__=R*F,نسال الله السلامة,Friday 8 September 2023 at 23:27,2,08 September 2023,23:27
محمد عيسى اسماعيل,https://www.facebook.com/profile.php?id=100003185028278&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMTQ4NDY1OTAzODk5Mjg3MA%3D%3D&__tn__=R*F,نسأل الله اللطف والرحمة,Friday 8 September 2023 at 23:35,0,08 September 2023,23:35
Lalla Hajar,https://www.facebook.com/khadija.narjis.908?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMTA0MzAzNTgzMzUxNzMzNA%3D%3D&__tn__=R*F,نسأل الله السلامة,Friday 8 September 2023 at 23:28,3,08 September 2023,23:28
Hànânë Àghmïr,https://www.facebook.com/profile.php?id=100042457654526&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMjAxOTAwOTgyNzM3Nzc5&__tn__=R*F,الحمد لله على كل حال,Friday 8 September 2023 at 23:47,0,08 September 2023,23:47
هشام النقاش,https://www.facebook.com/hicham.islam.330?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNjc5MjYwODkwOTI5NzM0&__tn__=R*F,نسأل الله اللطف والرحمة,Friday 8 September 2023 at 23:31,0,08 September 2023,23:31
Mohamed Salmane,https://www.facebook.com/mohamed.salmane.370?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMTM5NzgwODc1ODcwNjAx&__tn__=R*F,نسأل الله السلامة والعافية يارب العالمين الله يلطف بنا يارب,Friday 8 September 2023 at 23:32,3,08 September 2023,23:32
Souad Sbai,https://www.facebook.com/profile.php?id=100092692177093&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMTAxNjQ3NzE2NjE1ODgwNA%3D%3D&__tn__=R*F,اللهم ارحمنا برحمتك يا الله اللهم الطف بنا يا لطيف,Friday 8 September 2023 at 23:55,0,08 September 2023,23:55
Суфьян Резидент,https://www.facebook.com/medo.soufiane.5?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMTMwNTY4NjQ4MzM5Mjk2NA%3D%3D&__tn__=R*F,ياربي سلامة الله يحفضنا,Friday 8 September 2023 at 23:27,0,08 September 2023,23:27
Oth Mane,https://www.facebook.com/profile.php?id=100031023911237&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMzMwMDcwNTE2MDMxOTAw&__tn__=R*F,نسأل الله اللطف والسلامه,Friday 8 September 2023 at 23:25,2,08 September 2023,23:25
Tabrkhacht Dadss,https://www.facebook.com/profile.php?id=100016756692404&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfODQyMjg0MjUwNzk1NjQ1&__tn__=R*F,لا حول ولا قوة الا بالله العلي العظيم,Saturday 9 September 2023 at 00:24,0,09 September 2023,00:24
